"","taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"ubiome_bacteriacounts.231","89312","970","4","70",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.232","2740","186807","4","70",NA,"Peptococcus","genus",NA
"ubiome_bacteriacounts.233","157692","32067","4","70",NA,"Leptotrichia goodfellowii","species",NA
"ubiome_bacteriacounts.234","186807","186802","4","70",NA,"Peptococcaceae","family",NA
"ubiome_bacteriacounts.235","1302","1301","4","70",NA,"Streptococcus gordonii","species",NA
"ubiome_bacteriacounts.236","52769","1654","3","53",NA,"Actinomyces gerencseriae","species",NA
"ubiome_bacteriacounts.237","91347","1236","3","53",NA,"Enterobacteriales","order",NA
"ubiome_bacteriacounts.238","543","91347","3","53",NA,"Enterobacteriaceae","family",NA
"ubiome_bacteriacounts.239","61592","1716","3","53",NA,"Corynebacterium durum","species",NA
"ubiome_bacteriacounts.240","31979","186802","3","53",NA,"Clostridiaceae","family",NA
"ubiome_bacteriacounts.241","327596","1016","3","53",NA,"Capnocytophaga sp. AHN10044","species",NA
"ubiome_bacteriacounts.242","123375","128827","3","53",NA,"Solobacterium","genus",NA
"ubiome_bacteriacounts.243","186817","1385","3","53",NA,"Bacillaceae","family",NA
"ubiome_bacteriacounts.244","851","848","3","53",NA,"Fusobacterium nucleatum","species",NA
"ubiome_bacteriacounts.245","38304","1716","3","53",NA,"Corynebacterium tuberculostearicum","species",NA
"ubiome_bacteriacounts.246","102148","123375","3","53",NA,"Solobacterium moorei","species",NA
"ubiome_bacteriacounts.247","712456","838","3","53",NA,"Prevotella sp. oral taxon 300","species",NA
"ubiome_bacteriacounts.248","163590","84372","2","35",NA,"Eubacterium sp. oral clone DO008","species",NA
"ubiome_bacteriacounts.249","334108","481","2","35",NA,"Bergeriella","genus",NA
"ubiome_bacteriacounts.250","324844","135095","2","35",NA,"Veillonella sp. oral clone VeillE3","species",NA
