"taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"28141","413496","139","4262","null","Cronobacter sakazakii","species","null"
"413496","543","139","4262","null","Cronobacter","genus","null"
"1411023","200630","134","4109","null","unclassified Peptostreptococcaceae (miscellaneous)","no_rank","null"
"747603","1411023","131","4017","null","Peptostreptococcaceae bacterium TM5","species","null"
"292632","541000","105","3220","null","Subdoligranulum","genus","null"
"46506","816","105","3220","null","Bacteroides stercoris","species","null"
"1189972","49928","103","3159","null","bacterium NLAE-zl-G423","species","null"
"508677","508458","98","3005","null","unclassified Synergistetes","no_rank","null"
"665956","292632","92","2821","null","Subdoligranulum sp. 4_3_54A2FAA","species","null"
"28211","1224","89","2729","null","Alphaproteobacteria","class","null"
"31969","544448","70","2147","null","Mollicutes","class","null"
"544448","2","70","2147","null","Tenericutes","phylum","null"
"909932","1239","68","2085","null","Negativicutes","class","null"
"909929","909932","68","2085","null","Selenomonadales","order","null"
"204441","28211","65","1993","null","Rhodospirillales","order","null"
"909930","909929","64","1963","null","Acidaminococcaceae","family","null"
"41295","204441","63","1932","null","Rhodospirillaceae","family","null"
"216851","541000","58","1779","null","Faecalibacterium","genus","null"
"397864","171551","58","1779","null","Barnesiella","genus","null"
"328814","239759","57","1748","null","Alistipes shahii","species","null"
"999419","387661","55","1687","null","Parabacteroides johnsonii CL02T12C29","no_rank","null"
"387661","375288","55","1687","null","Parabacteroides johnsonii","species","null"
"320882","1485","51","1564","null","Clostridium sp. ID5","species","null"
"820","816","50","1533","null","Bacteroides uniformis","species","null"
"283168","171551","46","1411","null","Odoribacter","genus","null"
"186928","186803","44","1349","null","unclassified Lachnospiraceae","no_rank","null"
"28221","68525","43","1319","null","Deltaproteobacteria","class","null"
"68525","1224","43","1319","null","delta/epsilon subdivisions","subphylum","null"
"168934","41295","42","1288","null","Thalassospira","genus","null"
"189330","186803","41","1257","null","Dorea","genus","null"
"216572","186802","40","1227","null","Oscillospiraceae","family","null"
"853","216851","39","1196","null","Faecalibacterium prausnitzii","species","null"
"658081","186928","36","1104","null","Lachnospiraceae bacterium 1_1_57FAA","species","null"
"48479","2","36","1104","null","environmental samples","no_rank","null"
"459786","216572","35","1073","null","Oscillibacter","genus","null"
"1760","201174","33","1012","null","Actinobacteria","class","null"
"201174","2","33","1012","null","Actinobacteria","phylum","73C7D7"
"310297","816","32","981","null","Bacteroides plebeius","species","null"
"213115","28221","32","981","null","Desulfovibrionales","order","null"
"194924","213115","32","981","null","Desulfovibrionaceae","family","null"
"186806","186802","32","981","null","Eubacteriaceae","family","null"
"1730","186806","32","981","null","Eubacterium","genus","null"
"626932","239759","31","951","null","Alistipes indistinctus","species","null"
"574697","171551","31","951","null","Butyricimonas","genus","null"
"33024","909930","31","951","null","Phascolarctobacterium","genus","null"
"33042","186803","29","889","null","Coprococcus","genus","null"
"40520","572511","27","828","null","[Ruminococcus] obeum","species","null"
"28117","239759","27","828","null","Alistipes putredinis","species","null"
"596767","541000","27","828","null","Hydrogenoanaerobacterium","genus","null"
"57723","131550","27","828","null","Acidobacteria","phylum","null"
"91061","1239","27","828","null","Bacilli","class","null"
"538999","186802","27","828","null","Clostridiales incertae sedis","no_rank","null"
"131550","2","27","828","null","Fibrobacteres/Acidobacteria group","superphylum","null"
"544645","574697","25","767","null","Butyricimonas virosa","species","null"
"28118","283168","23","705","null","Odoribacter splanchnicus","species","null"
"1385","91061","23","705","null","Bacillales","order","null"
"186807","186802","23","705","null","Peptococcaceae","family","null"
"543314","538999","22","675","null","Clostridiales Family XIII. Incertae Sedis","family","null"
"214858","816","22","675","null","Bacteroides sp. DSM 12148","species","null"
"333046","171549","21","644","null","unclassified Bacteroidales","no_rank","null"
"33025","33024","21","644","null","Phascolarctobacterium faecium","species","null"
